SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,16 Balustrade,Foothill Ranch,CA,92610,1225000,4,3.0,Crestview (FHCS),1663,3050,1997,1,737,110,Pre On-Market,March-7-2026 12:00 PM,March-7-2026 04:00 PM,https://www.redfin.com/CA/Foothill-Ranch/16-Balustrade-Pl-92610/home/4803220,CRMLS,OC26044206,N,Y,33.67974,-117.6507739
MLS Listing,,Condo/Co-op,3110 Via Serena South Unit P,Laguna Woods,CA,92637,428000,2,2.0,Other (OTHR),1145,,1972,1,374,909,Active,March-1-2026 01:00 PM,March-1-2026 03:00 PM,https://www.redfin.com/CA/Laguna-Woods/3110-Via-Serena-S-92637/unit-P/home/5330112,CRMLS,OC26044242,N,Y,33.6167249,-117.7330273
MLS Listing,,Single Family Residential,151 Fremont,Lake Forest,CA,92630,1788888,4,3.0,699 - Not Defined,2083,3668,2022,1,859,290,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Lake-Forest/151-Fremont-92630/home/182269422,CRMLS,OC26044243,N,Y,33.6690422,-117.671191
MLS Listing,,Condo/Co-op,3289 San Amadeo Unit C,Laguna Woods,CA,92637,975000,3,2.0,Other (OTHR),1500,,1973,1,650,909,Active,February-28-2026 01:00 PM,February-28-2026 03:00 PM,https://www.redfin.com/CA/Laguna-Woods/3289-San-Amadeo-92637/unit-C/home/200651616,CRMLS,OC26044222,N,Y,33.6026167,-117.7448764
MLS Listing,,Single Family Residential,11532 Mac,Garden Grove,CA,92841,1058800,3,2.5,Other (OTHR),1162,7200,1955,1,911,,Active,,,https://www.redfin.com/CA/Garden-Grove/11532-Mac-St-92841/home/3646811,CRMLS,PW26044045,N,Y,33.7952118,-117.9790644
MLS Listing,,Condo/Co-op,319 Avenida Carmel Unit B,Laguna Woods,CA,92637,629000,2,1.5,Leisure World (LW),1300,,1965,1,484,827,Active,,,https://www.redfin.com/CA/Laguna-Woods/319-Avenida-Carmel-92637/unit-B/home/103683167,CRMLS,OC26038844,N,Y,33.6074315,-117.7202475
MLS Listing,,Condo/Co-op,133 Lugo Ln,Mission Viejo,CA,92692,948888,3,2.0,Saddleback Homes (SAD),1952,,2023,1,486,333,Active,February-28-2026 01:00 AM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Mission-Viejo/133-Lugo-Ln-92692/home/194122591,CRMLS,OC26039983,N,Y,33.6608407,-117.63901
MLS Listing,,Single Family Residential,12162 Fieldgate,Garden Grove,CA,92841,1199000,4,3.0,"61 - N of Gar Grv, S Of Ball, E of Knott, W of Dal",1829,7200,1959,1,656,,Active,,,https://www.redfin.com/CA/Garden-Grove/12162-Fieldgate-St-92841/home/3635888,CRMLS,OC26030826,N,Y,33.785797,-117.9951778
MLS Listing,,Single Family Residential,1817 E Alcove,Anaheim,CA,92805,930000,4,2.0,Other (OTHR),1557,6000,1968,1,597,,Active,February-28-2026 12:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Anaheim/1817-E-Alcove-Way-92805/home/3964524,CRMLS,PW26040661,N,Y,33.8212513,-117.8913999
MLS Listing,,Single Family Residential,22733 Islamare,Lake Forest,CA,92630,1580000,4,4.0,LN - Lake Forest North,2367,4300,1974,1,668,263,Active,February-28-2026 12:00 PM,February-28-2026 03:00 PM,https://www.redfin.com/CA/Lake-Forest/22733-Islamare-Ln-92630/home/4835272,CRMLS,OC26042269,N,Y,33.6331858,-117.7040679
MLS Listing,,Single Family Residential,54 Turnbury Ln,Irvine,CA,92620,1930000,4,3.5,NW - Northwood,2402,4240,1997,1,803,216,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Irvine/54-Turnbury-Ln-92620/home/4791534,CRMLS,WS26032751,N,Y,33.7286835,-117.7549505
MLS Listing,,Single Family Residential,5562 Thelma Ave,La Palma,CA,90623,1021000,3,2.0,81 - La Palma,1335,5090,1972,1,765,,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/La-Palma/5562-Thelma-Ave-90623/home/4033962,CRMLS,RS26044004,N,Y,33.8506002,-118.0362231
MLS Listing,,Single Family Residential,2671 Saint Albans,Los Alamitos,CA,90720,1899000,3,2.0,Other (OTHR),2162,7920,1958,1,878,,Active,February-28-2026 12:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Los-Alamitos/2671-Saint-Albans-Dr-90720/home/3376807,CRMLS,PW26043028,N,Y,33.7879884,-118.0875586
MLS Listing,,Condo/Co-op,"1820 Sunningdale Rd, M14 19K",Seal Beach,CA,90740,320000,2,1.0,Leisure World (LW),750,900,1963,1,427,506,Active,,,https://www.redfin.com/CA/Seal-Beach/1820-Sunningdale-Rd-90740/home/179464650,CRMLS,SW26027002,N,Y,33.7685714,-118.0811968
MLS Listing,,Single Family Residential,11411 Woodbury,Garden Grove,CA,92843,1025000,4,2.0,"66 - N of Blsa, S of GGrv, E of Brookhrst, W of Ha",1364,7276,1955,1,751,,Active,,,https://www.redfin.com/CA/Garden-Grove/11411-Woodbury-Rd-92843/home/3480406,CRMLS,OC26030861,N,Y,33.7639902,-117.9301848
MLS Listing,,Single Family Residential,24741 Stratton,Laguna Niguel,CA,92677,970000,2,2.5,LNSEA - Sea Country,1331,2080,1989,1,729,447,Active,,,https://www.redfin.com/CA/Laguna-Niguel/24741-Stratton-Ln-92677/home/4917786,CRMLS,PW26034295,N,Y,33.5233524,-117.6991243
MLS Listing,,Single Family Residential,590 Traverse Dr,Costa Mesa,CA,92626,1489000,4,3.0,Del Cerro (DELC),1799,7200,1965,1,828,,Active,,,https://www.redfin.com/CA/Costa-Mesa/590-Traverse-Dr-92626/home/4546696,CRMLS,OC26042921,N,Y,33.6866892,-117.8809803
MLS Listing,,Townhouse,22482 Caminito Esteban,Laguna Hills,CA,92653,680000,3,2.0,Laguna Village (LV),1320,567382,1975,1,515,540,Active,,,https://www.redfin.com/CA/Laguna-Hills/22482-Caminito-Esteban-92653/home/179469089,CRMLS,OC26040316,N,Y,33.6251968,-117.7374484
MLS Listing,,Single Family Residential,11268 Morgen Way,Cypress,CA,90630,799000,2,2.0,Cypress Village Gardens (CYGR),1203,2812,1974,1,664,400,Active,February-28-2026 12:30 PM,February-28-2026 04:30 PM,https://www.redfin.com/CA/Cypress/11268-Morgen-Way-90630/home/3944759,CRMLS,PW26028902,N,Y,33.7986507,-118.0183115
MLS Listing,,Single Family Residential,111 Spoke,Irvine,CA,92618,2660000,5,5.5,Other (OTHR),3250,5543,2017,1,818,240,Active,,,https://www.redfin.com/CA/Irvine/111-Spoke-92618/home/112718751,CRMLS,WS26040404,N,Y,33.6908494,-117.7315767
MLS Listing,,Single Family Residential,17641 Santa Maria,Fountain Valley,CA,92708,1100000,6,3.5,16 - Fountain Valley / Northeast HB,2431,7200,1963,1,452,,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Fountain-Valley/17641-Santa-Maria-St-92708/home/3860798,CRMLS,PW26043789,N,Y,33.7064798,-117.9790597
MLS Listing,,Condo/Co-op,219 Seacountry Ln,Rancho Santa Margarita,CA,92688,899000,3,2.5,Sea Country (SEAC),1541,,1998,1,583,445,Active,,,https://www.redfin.com/CA/Rancho-Santa-Margarita/219-Seacountry-Ln-92688/home/5663754,CRMLS,OC26044207,N,Y,33.589163,-117.62984
MLS Listing,,Condo/Co-op,13601 Del Monte Dr Unit 54A,Seal Beach,CA,90740,468000,2,2.0,Leisure World (LW),1070,1070,1983,1,437,711,Active,,,https://www.redfin.com/CA/Seal-Beach/13601-Del-Monte-Dr-90740/unit-54A/home/200699960,CRMLS,PW26044193,N,Y,33.7659531,-118.0784988
MLS Listing,,Condo/Co-op,7100 Cerritos Ave #86,Stanton,CA,90680,428888,2,1.0,Edgewood Park (EDGP),825,226089,1971,1,520,275,Active,March-1-2026 12:00 PM,March-1-2026 02:00 PM,https://www.redfin.com/CA/Stanton/7100-Cerritos-Ave-90680/unit-86/home/5282331,CRMLS,PW26043311,N,Y,33.808813,-118.009116
MLS Listing,,Single Family Residential,18440 Tamarind,Fountain Valley,CA,92708,1699900,4,2.0,16 - Fountain Valley / Northeast HB,2438,7202,1964,1,697,,Pre On-Market,March-1-2026 12:00 AM,March-1-2026 11:59 PM,https://www.redfin.com/CA/Fountain-Valley/18440-Tamarind-St-92708/home/3822747,CRMLS,OC26041100,N,Y,33.6949888,-117.9609448
MLS Listing,,Condo/Co-op,10520 Lakeside Dr N Unit L,Garden Grove,CA,92840,429000,1,1.0,Lakeside I (LKS1),655,223555,1981,1,655,390,Active,,,https://www.redfin.com/CA/Garden-Grove/10520-Lakeside-Dr-N-92840/unit-L/home/5734604,CRMLS,OC26035515,N,Y,33.7797715,-117.9491099
MLS Listing,,Condo/Co-op,24055 Paseo Del Lago #311,Laguna Woods,CA,92637,139000,1,1.5,Leisure World (LW),915,486287,1974,1,152,2792,Active,,,https://www.redfin.com/CA/Laguna-Woods/24055-Paseo-del-Lago-92637/unit-311/home/5370578,CRMLS,OC26044164,N,Y,33.613335,-117.744348
MLS Listing,,Condo/Co-op,23 Via Prado,Rancho Santa Margarita,CA,92688,375000,1,1.0,Las Flores (R2) (LF),547,,1989,1,686,415,Active,,,https://www.redfin.com/CA/Rancho-Santa-Margarita/23-Via-Prado-92688/home/5224549,CRMLS,OC26043760,N,Y,33.6416029,-117.5874489
MLS Listing,,Single Family Residential,3 San Simeon,Laguna Niguel,CA,92677,3950000,5,4.0,Palmilla (PAL),4118,9800,1989,1,959,463,Pre On-Market,,,https://www.redfin.com/CA/Laguna-Niguel/3-San-Simeon-92677/home/4932454,CRMLS,PW26036038,N,Y,33.5350867,-117.7303374
MLS Listing,,Single Family Residential,27 Royal Tern,Aliso Viejo,CA,92656,1325000,3,2.5,AV - Aliso Viejo,1512,3000,1989,1,876,137,Pre On-Market,,,https://www.redfin.com/CA/Aliso-Viejo/27-Royal-Tern-Ln-92656/home/4851901,CRMLS,LG26044163,N,Y,33.5919488,-117.7480575
MLS Listing,,Condo/Co-op,23230 Dover,Yorba Linda,CA,92887,599999,2,2.5,Other (OTHR),1112,86702,1986,1,540,561,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Yorba-Linda/23230-Dover-Ln-92887/home/179490792,CRMLS,CV26044011,N,Y,33.8719204,-117.7261137
MLS Listing,,Condo/Co-op,2144 Camino Laurel,San Clemente,CA,92673,1658899,4,3.0,Highland Light Village (HLV),2435,50745,1986,1,681,370,Pre On-Market,,,https://www.redfin.com/CA/San-Clemente/2144-Camino-Laurel-92673/home/200699822,CRMLS,LG26028712,N,Y,33.4479413,-117.6251458
MLS Listing,,Single Family Residential,24242 Davida,Laguna Niguel,CA,92677,1279000,3,2.5,Village Niguel Heights (VNH),1908,4000,1987,1,670,397,Active,February-28-2026 12:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Laguna-Niguel/24242-Davida-92677/home/4874927,CRMLS,LG26044134,N,Y,33.5574959,-117.7066616
MLS Listing,,Single Family Residential,22102 Surfrider Ln,Huntington Beach,CA,92646,1850000,4,2.0,Newport West (NEWP),1657,7130,1963,1,1116,,Active,,,https://www.redfin.com/CA/Huntington-Beach/22102-Surfrider-Ln-92646/home/3555369,CRMLS,OC26043722,N,Y,33.6417568,-117.9686966
MLS Listing,,Townhouse,105 Lugo Ln,Mission Viejo,CA,92692,649900,1,1.5,MN - Mission Viejo North,887,,2023,1,733,333,Pre On-Market,March-7-2026 01:00 PM,March-7-2026 04:00 PM,https://www.redfin.com/CA/Mission-Viejo/105-Lugo-Ln-92692/home/194122598,CRMLS,OC26034027,N,Y,33.6605542,-117.6388856
MLS Listing,,Condo/Co-op,19092 Shorline Ln #5,Huntington Beach,CA,92648,756000,2,2.0,Pierpointe (PRPT),1064,49695,1980,1,711,524,Active,February-28-2026 02:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Huntington-Beach/19092-Shoreline-Ln-92648/unit-5/home/5570711,CRMLS,OC26035900,N,Y,33.6852266,-117.9981251
MLS Listing,,Single Family Residential,14642 Birch,Westminster,CA,92683,1287000,3,2.5,Parkview Homes (PKVH),1731,4306,1999,1,744,67,Active,February-28-2026 12:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Westminster/14642-Birch-St-92683/home/3437919,CRMLS,PW26043359,N,Y,33.7502727,-117.9737834
MLS Listing,,Condo/Co-op,24055 Paseo Del Lago #1201,Laguna Woods,CA,92637,59900,1,1.0,Leisure World (LW),625,625,1974,1,96,2791,Active,,,https://www.redfin.com/CA/Laguna-Woods/24055-Paseo-del-Lago-92637/unit-1201/home/5371141,CRMLS,OC26044114,N,Y,33.613335,-117.744348
MLS Listing,,Single Family Residential,113 Oakstone,Irvine,CA,92618,3629990,4,4.5,Other (OTHR),3220,3825,2025,1,1127,190,Active,February-28-2026 12:00 AM,February-28-2026 11:59 PM,https://www.redfin.com/CA/Irvine/113-Oakstone-92618/home/200226917,CRMLS,OC26044082,N,Y,33.6894276,-117.6986011
MLS Listing,,Single Family Residential,1 San Martin Way,Corona Del Mar,CA,92625,7849000,4,2.5,Spyglass Hill (SPYH),2716,13050,1973,1,2890,197,Active,,,https://www.redfin.com/CA/Corona-del-Mar/1-San-Martin-Way-92625/home/4733545,CRMLS,NP26038445,N,Y,33.6095493,-117.8479801
MLS Listing,,Single Family Residential,17782 Arbolada Way,Tustin,CA,92780,2279900,5,5.0,NTS - North Tustin,3157,10001,1991,1,722,,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Tustin/17782-Arbolada-Way-92780/home/4484239,CRMLS,PW26042507,N,Y,33.7573827,-117.8219503
MLS Listing,,Single Family Residential,30882 Via Colinas,Trabuco Canyon,CA,92679,7425000,5,5.5,Forest (TF),7687,78408,1989,1,966,355,Active,,,https://www.redfin.com/CA/Trabuco-Canyon/30882-Via-Colinas-92679/home/5756630,CRMLS,OC26042025,N,Y,33.6192031,-117.5933095
MLS Listing,,Condo/Co-op,8415 Benjamin Dr,Huntington Beach,CA,92647,624990,2,1.0,Bayshore (BAYS),861,900,1971,1,726,280,Active,March-1-2026 01:00 PM,March-1-2026 04:00 PM,https://www.redfin.com/CA/Huntington-Beach/8415-Benjamin-Dr-92647/home/194258280,CRMLS,PW26043995,N,Y,33.7065883,-117.9818307
MLS Listing,,Single Family Residential,911 Darrell St,Costa Mesa,CA,92627,1095000,3,2.0,Sunshine Homes West (SUNW),1017,6000,1956,1,1077,,Pre On-Market,March-6-2026 11:00 AM,March-6-2026 02:00 PM,https://www.redfin.com/CA/Costa-Mesa/911-Darrell-St-92627/home/4563886,CRMLS,OC26042998,N,Y,33.6565241,-117.9369409
MLS Listing,,Single Family Residential,721 Crested Lark,Ladera Ranch,CA,92694,1410999,3,2.5,Botanica (BTNC),2065,4119,2024,1,683,304,Pre On-Market,,,https://www.redfin.com/CA/Ladera-Ranch/721-Crested-Lark-92694/home/200699298,CRMLS,OC26042478,N,Y,33.5276634,-117.584053
MLS Listing,,Multi-Family (2-4 Unit),716 N Harbor,Anaheim,CA,92805,998000,3,2.0,Other (OTHR),1730,11765,1946,1,577,,Active,,,https://www.redfin.com/CA/Anaheim/716-N-Harbor-Blvd-92805/home/3194777,CRMLS,NP26010678,N,Y,33.841507,-117.9215157
MLS Listing,,Single Family Residential,1632 S Songish St,Anaheim,CA,92804,1050000,4,2.0,79 - Anaheim West of Harbor,1308,7500,1954,1,803,,Active,March-1-2026 01:00 PM,March-1-2026 04:00 PM,https://www.redfin.com/CA/Anaheim/1632-S-Songish-St-92804/home/3608889,CRMLS,PW26043515,N,Y,33.807989,-117.954674
MLS Listing,,Single Family Residential,3144 Alta Laguna,Laguna Beach,CA,92651,4995000,3,4.5,North Laguna (NL),3768,7350,2008,1,1326,,Active,,,https://www.redfin.com/CA/Laguna-Beach/3144-Alta-Laguna-Blvd-92651/home/4885731,CRMLS,PW26043725,N,Y,33.5518676,-117.7557909
MLS Listing,,Single Family Residential,25631 Hampton,Laguna Niguel,CA,92677,1495000,4,2.0,Rolling Hills Fieldstone (RHF),2418,6200,1981,1,618,296,Active,,,https://www.redfin.com/CA/Laguna-Niguel/25631-Hampton-Dr-92677/home/4881706,CRMLS,OC26043989,N,Y,33.5537649,-117.6827392
MLS Listing,,Condo/Co-op,1649 W Lincoln #105,Anaheim,CA,92801,749900,2,2.5,Other (OTHR),1562,309366,2023,1,480,388,Active,,,https://www.redfin.com/CA/Anaheim/1649-W-Lincoln-Ave-92801/unit-105/home/182263683,CRMLS,RS26043448,N,Y,33.8340463,-117.9401076
MLS Listing,,Townhouse,7692 9th St #105,Buena Park,CA,90621,845000,3,2.5,Other (OTHR),1596,,2026,1,529,275,Active,,,https://www.redfin.com/CA/Buena-Park/7692-9th-St-90621/unit-105/home/200699148,CRMLS,IV26043755,N,Y,33.8650479,-117.9991003
MLS Listing,,Condo/Co-op,28 Brigmore Aisle,Irvine,CA,92603,2085000,3,3.5,Summit Towne Collection (TST),2547,24546,1990,1,819,730,Active,February-28-2026 02:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Irvine/28-Brigmore-Aisle-92603/home/5711445,CRMLS,NP26005872,N,Y,33.644558,-117.806939
MLS Listing,,Single Family Residential,44 Drakes Bay Dr,Corona Del Mar,CA,92625,7398000,5,5.5,Spyglass Hill Custom (SPYC),4423,12805,2009,1,1673,228,Active,March-5-2026 11:00 AM,March-5-2026 02:00 PM,https://www.redfin.com/CA/Corona-del-Mar/44-Drakes-Bay-Dr-92625/home/4733873,CRMLS,OC26010469,N,Y,33.6108054,-117.8426797
MLS Listing,,Single Family Residential,12061 Nutwood,Garden Grove,CA,92840,949777,3,2.0,Other (OTHR),1394,7201,1956,1,681,,Active,,,https://www.redfin.com/CA/Garden-Grove/12061-Nutwood-St-92840/home/3391885,CRMLS,PW26043839,N,Y,33.7876332,-117.9502222
MLS Listing,,Condo/Co-op,156 Chandon,Laguna Niguel,CA,92677,889900,2,2.5,Chandon (MHC),1256,1356,1989,1,709,665,Active,February-28-2026 12:00 PM,February-28-2026 03:00 PM,https://www.redfin.com/CA/Laguna-Niguel/156-Chandon-92677/home/5388199,CRMLS,PW26043181,N,Y,33.5237491,-117.6892153
MLS Listing,,Single Family Residential,2007 Port Chelsea,Newport Beach,CA,92660,4500000,4,2.5,Harbor View Homes (HVHM),2324,7840,1970,1,1936,115,Pre On-Market,,,https://www.redfin.com/CA/Newport-Beach/2007-Port-Chelsea-Pl-92660/home/4718544,CRMLS,NP26036614,N,Y,33.6222139,-117.8521625
MLS Listing,,Condo/Co-op,1320 Knollwood Rd Unit 42F,Seal Beach,CA,90740,549000,2,1.5,Leisure World (LW),1150,,1960,1,477,588,Active,,,https://www.redfin.com/CA/Seal-Beach/1320-Knollwood-Rd-90740/unit-42F/home/103669887,CRMLS,PW26042515,N,Y,33.7662444,-118.0900476
MLS Listing,,Single Family Residential,30 Winslow St,Ladera Ranch,CA,92694,2588000,5,4.5,Wyeth (WYTH),4079,9250,1999,1,634,231,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Ladera-Ranch/30-Winslow-St-92694/home/5780003,CRMLS,OC26040428,N,Y,33.5713676,-117.6396616
MLS Listing,,Condo/Co-op,18 Hillsdale,Newport Beach,CA,92660,3250000,4,3.5,Belcourt Terrace (BLTR),3476,99221,1984,1,935,1620,Active,,,https://www.redfin.com/CA/Newport-Beach/18-Hillsdale-Dr-92660/home/200123185,CRMLS,OC26040199,N,Y,33.636259,-117.8652687
MLS Listing,,Single Family Residential,3126 S Rita Way,Santa Ana,CA,92704,1395000,4,3.0,Republic Homes (REPB),2208,6240,1968,1,632,,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Santa-Ana/3126-S-Rita-Way-92704/home/4531753,CRMLS,PW26043736,N,Y,33.705058,-117.8882019
MLS Listing,,Single Family Residential,9422 Nantucket Dr,Huntington Beach,CA,92646,1750000,5,3.0,Glen Mar (Shores) (GLEN),2620,6120,1963,1,668,,Active,February-28-2026 12:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Huntington-Beach/9422-Nantucket-Dr-92646/home/3798133,CRMLS,OC26041020,N,Y,33.6774234,-117.9636387
MLS Listing,,Multi-Family (2-4 Unit),145 Avenida Pelayo,San Clemente,CA,92672,1549999,3,2.0,Other (OTHR),1410,4177,1955,1,1099,,Active,,,https://www.redfin.com/CA/San-Clemente/145-Avenida-Pelayo-92672/home/200624913,CRMLS,PW26042773,N,Y,33.4299675,-117.6244252
MLS Listing,,Townhouse,10779 Chere Ct,Fountain Valley,CA,92708,749990,2,1.5,Fountain Park (FTPK),1161,989,1974,1,646,399,Active,,,https://www.redfin.com/CA/Fountain-Valley/10779-Chere-Ct-92708/home/3520540,CRMLS,OC26043703,N,Y,33.7321582,-117.9409525
MLS Listing,,Single Family Residential,28296 Borgona,Mission Viejo,CA,92692,1024900,3,2.0,Casta Del Sol - Fiesta (CF),1503,3478,1980,1,682,606,Active,,,https://www.redfin.com/CA/Mission-Viejo/28296-Borgona-92692/home/5044371,CRMLS,OC26042420,N,Y,33.6205788,-117.6365297
MLS Listing,,Single Family Residential,625 Saint James Rd,Newport Beach,CA,92663,10695000,5,5.5,Newport Heights (NEWH),5222,8866,2021,1,2048,,Active,,,https://www.redfin.com/CA/Newport-Beach/625-Saint-James-Rd-92663/home/3246647,CRMLS,NP26043584,N,Y,33.6212006,-117.910334
MLS Listing,,Single Family Residential,2750 E Diana Ave,Anaheim,CA,92806,925000,3,2.0,Other (OTHR),1615,7205,1960,1,573,,Active,,,https://www.redfin.com/CA/Anaheim/2750-E-Diana-Ave-92806/home/4007045,CRMLS,OC26042539,N,Y,33.8317575,-117.8735932
MLS Listing,,Condo/Co-op,"1680 Monterey Rd., M2-10I",Seal Beach,CA,90740,379000,2,1.0,Leisure World (LW),900,1150,1962,1,421,586,Active,,,https://www.redfin.com/CA/Seal-Beach/1680-Monterey-Rd-90740/home/3424389,CRMLS,PW26041173,N,Y,33.7610915,-118.0823188
MLS Listing,,Condo/Co-op,1801 E Katella Ave #2049,Anaheim,CA,92805,520000,1,1.0,Other (OTHR),705,,2005,1,738,477,Active,,,https://www.redfin.com/CA/Anaheim/1801-E-Katella-Ave-92805/unit-2049/home/12257124,CRMLS,CV26039383,N,Y,33.8036348,-117.8905752
MLS Listing,,Single Family Residential,311 S Colfax,La Habra,CA,90631,699900,2,1.0,Other (OTHR),932,5400,1950,1,751,,Active,March-1-2026 01:00 PM,March-1-2026 04:00 PM,https://www.redfin.com/CA/La-Habra/311-S-Colfax-St-90631/home/4119379,CRMLS,CV26043275,N,Y,33.9294209,-117.9308721
MLS Listing,,Mobile/Manufactured Home,7652 Garfield Ave #49,Huntington Beach,CA,92648,309000,2,2.0,Huntington Mobile Estates,800,332684,2021,1,386,,Active,,,https://www.redfin.com/CA/Huntington-Beach/7652-Garfield-Ave-92648/unit-49/home/182249106,CRMLS,OC26043660,N,Y,33.685764,-117.99425
MLS Listing,,Single Family Residential,7 Carriage,Irvine,CA,92602,1988000,4,2.5,Amberwood (W.I.) (AMBW),2480,3915,1999,1,802,,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Irvine/7-Carriage-Dr-92602/home/4793798,CRMLS,OC26041555,N,Y,33.7420929,-117.7715952
MLS Listing,,Townhouse,20 Navarre #134,Irvine,CA,92612,925000,2,1.5,RSJ Villas (JV),1145,117670,1978,1,808,599,Active,February-28-2026 01:00 PM,February-28-2026 03:00 PM,https://www.redfin.com/CA/Irvine/20-Navarre-92612/unit-134/home/5503590,CRMLS,OC26019964,N,Y,33.6651383,-117.8296076
MLS Listing,,Single Family Residential,53 Sweet Bay,Irvine,CA,92603,3480000,3,2.5,Fiore (FIOR),2595,4916,2004,1,1341,658,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Irvine/53-Sweet-Bay-92603/home/5900259,CRMLS,OC26042914,N,Y,33.6280145,-117.8100628
MLS Listing,,Single Family Residential,8109 E Bailey,Anaheim,CA,92808,2475000,5,4.5,Summit Pointe (SMPT),4247,10560,1991,1,583,335,Active,February-28-2026 01:00 PM,February-28-2026 04:00 PM,https://www.redfin.com/CA/Anaheim/8109-E-Bailey-Way-92808/home/4294613,CRMLS,PW26043389,N,Y,33.8503361,-117.7351694
MLS Listing,,Single Family Residential,314 S Benwood,Anaheim,CA,92804,825000,3,1.5,79 - Anaheim West of Harbor,1232,7200,1955,1,670,,Active,February-28-2026 01:00 PM,February-28-2026 03:30 PM,https://www.redfin.com/CA/Anaheim/314-S-Benwood-Dr-92804/home/3577379,CRMLS,PW26039639,N,Y,33.8274057,-117.985568
MLS Listing,,Single Family Residential,32352 Ridgeway,Laguna Niguel,CA,92677,1999000,4,3.0,Quissett Bay (QB),2614,5760,1987,1,765,293,Active,February-28-2026 02:30 PM,February-28-2026 04:30 PM,https://www.redfin.com/CA/Laguna-Niguel/32352-Ridgeway-Ave-92677/home/4959225,CRMLS,OC26041888,N,Y,33.4938017,-117.7105551
MLS Listing,,Single Family Residential,7775 E Bridgewood,Anaheim,CA,92808,2480000,4,4.5,Anaheim Hills Estates (ANHI),4057,26600,1995,1,611,385,Active,,,https://www.redfin.com/CA/Anaheim/7775-E-Bridgewood-Dr-92808/home/4296250,CRMLS,RS26034276,N,Y,33.8588731,-117.7455994
MLS Listing,,Single Family Residential,6122 Anthony Ave,Garden Grove,CA,92845,1198000,5,2.0,47 - Garden Park,2515,6000,1963,1,476,,Active,,,https://www.redfin.com/CA/Garden-Grove/6122-Anthony-Ave-92845/home/3628592,CRMLS,PW26041015,N,Y,33.7747812,-118.0263165
MLS Listing,,Condo/Co-op,9011 Cerise Ln #129,Cypress,CA,90630,440000,1,1.0,699 - Not Defined,763,,2024,1,577,560,Active,,,https://www.redfin.com/CA/Cypress/9011-Cerise-Ln-90630/unit-129/home/200696423,CRMLS,OC26029902,N,Y,33.8255468,-118.0441075
MLS Listing,,Single Family Residential,3702 Mercado Dr,Brea,CA,92823,1877000,3,3.5,Other (OTHR),3166,5419,2017,1,593,470,Active,,,https://www.redfin.com/CA/Brea/3702-Mercado-Dr-92823/home/143913904,CRMLS,CV26043458,N,Y,33.9105506,-117.8449934
MLS Listing,,Condo/Co-op,35 Garrison Loop,Ladera Ranch,CA,92694,840000,3,2.5,Chambray (CHMB),1511,458173,2001,1,556,652,Pre On-Market,,,https://www.redfin.com/CA/Ladera-Ranch/35-Garrison-Loop-92694/home/5843307,CRMLS,RS26043431,N,Y,33.5616147,-117.6487851
MLS Listing,,Condo/Co-op,13920 Thunderbird Dr,Seal Beach,CA,90740,309000,1,1.0,Leisure World (LW),740,,1961,1,418,586,Active,,,https://www.redfin.com/CA/Seal-Beach/13920-Thunderbird-Dr-90740/home/49702857,CRMLS,SR26029814,N,Y,33.7603471,-118.0799227
